Question,Location,Round,Answer,Count
What is the top thing that you need information about?,Sindhupalchowk,4,News about government decisions,19
What is the top thing that you need information about?,Sindhupalchowk,4,How to register for access support,0
What is the top thing that you need information about?,Sindhupalchowk,4,Others,0
What is the top thing that you need information about?,Sindhupalchowk,4,Finding missing people,0
What is the top thing that you need information about?,Sindhupalchowk,6,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Sindhupalchowk,6,How to replace personal documentation,0
What is the top thing that you need information about?,Sindhupalchowk,6,NA,83
What is the top thing that you need information about?,Sindhupalchowk,6,How to get shelter materials,1
What is the top thing that you need information about?,Sindhupalchowk,6,News about government decisions,13
What is the top thing that you need information about?,Sindhupalchowk,6,How to register for access support,3
What is the top thing that you need information about?,Sindhupalchowk,6,Others,0
What is the top thing that you need information about?,Sindhupalchowk,6,Finding missing people,0
Do you have any health problem?,Kavrepalanchok,1,"Yes, a lot of difficulty.",2
Do you have any health problem?,Kavrepalanchok,1,No difficulty.,74
Do you have any health problem?,Kavrepalanchok,1,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,1,"Yes, some difficulty",0
Do you have any health problem?,Kavrepalanchok,1,No difficulty,0
Do you have any health problem?,Kavrepalanchok,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Kavrepalanchok,1,Cannot do at all.,2
Do you have any health problem?,Kavrepalanchok,1,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,1,yes__some_difficulty,0
Do you have any health problem?,Kavrepalanchok,1,"Yes, some difficulty.",21
Do you have any health problem?,Kavrepalanchok,3,"Yes, a lot of difficulty.",0
Do you have any health problem?,Kavrepalanchok,3,No difficulty.,84
Do you have any health problem?,Kavrepalanchok,3,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,3,"Yes, some difficulty",0
Do you have any health problem?,Kavrepalanchok,3,No difficulty,0
Do you have any health problem?,Kavrepalanchok,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Kavrepalanchok,3,Cannot do at all.,0
Do you have any health problem?,Kavrepalanchok,3,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,3,yes__some_difficulty,0
Do you have any health problem?,Kavrepalanchok,3,"Yes, some difficulty.",16
Do you have any health problem?,Kavrepalanchok,2,"Yes, a lot of difficulty.",3
Do you have any health problem?,Kavrepalanchok,2,No difficulty.,73
Do you have any health problem?,Kavrepalanchok,2,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,2,"Yes, some difficulty",0
Do you have any health problem?,Kavrepalanchok,2,No difficulty,0
Do you have any health problem?,Kavrepalanchok,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Kavrepalanchok,2,Cannot do at all.,3
Do you have any health problem?,Kavrepalanchok,2,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,2,yes__some_difficulty,0
Do you have any health problem?,Kavrepalanchok,2,"Yes, some difficulty.",21
Do you have any health problem?,Kavrepalanchok,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Kavrepalanchok,5,No difficulty.,86
Do you have any health problem?,Kavrepalanchok,5,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,5,"Yes, some difficulty",0
Do you have any health problem?,Kavrepalanchok,5,No difficulty,0
Do you have any health problem?,Kavrepalanchok,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Kavrepalanchok,5,Cannot do at all.,0
Do you have any health problem?,Kavrepalanchok,5,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,5,yes__some_difficulty,0
Do you have any health problem?,Kavrepalanchok,5,"Yes, some difficulty.",14
Do you have any health problem?,Kavrepalanchok,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Kavrepalanchok,4,No difficulty.,89
Do you have any health problem?,Kavrepalanchok,4,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,4,"Yes, some difficulty",0
Do you have any health problem?,Kavrepalanchok,4,No difficulty,0
Do you have any health problem?,Kavrepalanchok,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,4,yes__a_lot_of_difficulty,1
Do you have any health problem?,Kavrepalanchok,4,Cannot do at all.,0
Do you have any health problem?,Kavrepalanchok,4,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,4,yes__some_difficulty,10
Do you have any health problem?,Kavrepalanchok,4,"Yes, some difficulty.",0
Do you have any health problem?,Kavrepalanchok,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Kavrepalanchok,6,No difficulty.,0
Do you have any health problem?,Kavrepalanchok,6,cannot_do_at_all,0
Do you have any health problem?,Kavrepalanchok,6,"Yes, some difficulty",11
Do you have any health problem?,Kavrepalanchok,6,No difficulty,89
Do you have any health problem?,Kavrepalanchok,6,"Yes, a lot of difficulty",0
Do you have any health problem?,Kavrepalanchok,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Kavrepalanchok,6,Cannot do at all.,0
Do you have any health problem?,Kavrepalanchok,6,yes_a_lot_of,0
Do you have any health problem?,Kavrepalanchok,6,yes__some_difficulty,0
Do you have any health problem?,Kavrepalanchok,6,"Yes, some difficulty.",0
Do you have any health problem?,Dolakha,1,"Yes, a lot of difficulty.",8
Do you have any health problem?,Dolakha,1,No difficulty.,61
Do you have any health problem?,Dolakha,1,cannot_do_at_all,0
Do you have any health problem?,Dolakha,1,"Yes, some difficulty",0
Do you have any health problem?,Dolakha,1,No difficulty,0
Do you have any health problem?,Dolakha,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Dolakha,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dolakha,1,Cannot do at all.,0
Do you have any health problem?,Dolakha,1,yes_a_lot_of,0
Do you have any health problem?,Dolakha,1,yes__some_difficulty,0
Do you have any health problem?,Dolakha,1,"Yes, some difficulty.",32
Do you have any health problem?,Dolakha,3,"Yes, a lot of difficulty.",3
Do you have any health problem?,Dolakha,3,No difficulty.,68
Do you have any health problem?,Dolakha,3,cannot_do_at_all,0
Do you have any health problem?,Dolakha,3,"Yes, some difficulty",0
Do you have any health problem?,Dolakha,3,No difficulty,0
Do you have any health problem?,Dolakha,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Dolakha,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dolakha,3,Cannot do at all.,0
Do you have any health problem?,Dolakha,3,yes_a_lot_of,0
Do you have any health problem?,Dolakha,3,yes__some_difficulty,0
Do you have any health problem?,Dolakha,3,"Yes, some difficulty.",29
Do you have any health problem?,Dolakha,2,"Yes, a lot of difficulty.",5
Do you have any health problem?,Dolakha,2,No difficulty.,70
Do you have any health problem?,Dolakha,2,cannot_do_at_all,0
Do you have any health problem?,Dolakha,2,"Yes, some difficulty",0
Do you have any health problem?,Dolakha,2,No difficulty,0
Do you have any health problem?,Dolakha,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Dolakha,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dolakha,2,Cannot do at all.,0
Do you have any health problem?,Dolakha,2,yes_a_lot_of,0
Do you have any health problem?,Dolakha,2,yes__some_difficulty,0
Do you have any health problem?,Dolakha,2,"Yes, some difficulty.",26
Do you have any health problem?,Dolakha,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dolakha,5,No difficulty.,67
Do you have any health problem?,Dolakha,5,cannot_do_at_all,0
Do you have any health problem?,Dolakha,5,"Yes, some difficulty",0
Do you have any health problem?,Dolakha,5,No difficulty,0
Do you have any health problem?,Dolakha,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Dolakha,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dolakha,5,Cannot do at all.,0
Do you have any health problem?,Dolakha,5,yes_a_lot_of,11
Do you have any health problem?,Dolakha,5,yes__some_difficulty,0
Do you have any health problem?,Dolakha,5,"Yes, some difficulty.",22
Do you have any health problem?,Dolakha,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dolakha,4,No difficulty.,65
Do you have any health problem?,Dolakha,4,cannot_do_at_all,0
Do you have any health problem?,Dolakha,4,"Yes, some difficulty",0
Do you have any health problem?,Dolakha,4,No difficulty,0
Do you have any health problem?,Dolakha,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Dolakha,4,yes__a_lot_of_difficulty,8
Do you have any health problem?,Dolakha,4,Cannot do at all.,0
Do you have any health problem?,Dolakha,4,yes_a_lot_of,0
Do you have any health problem?,Dolakha,4,yes__some_difficulty,27
Do you have any health problem?,Dolakha,4,"Yes, some difficulty.",0
Do you have any health problem?,Dolakha,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dolakha,6,No difficulty.,0
Do you have any health problem?,Dolakha,6,cannot_do_at_all,0
Do you have any health problem?,Dolakha,6,"Yes, some difficulty",30
Do you have any health problem?,Dolakha,6,No difficulty,64
Do you have any health problem?,Dolakha,6,"Yes, a lot of difficulty",6
Do you have any health problem?,Dolakha,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dolakha,6,Cannot do at all.,0
Do you have any health problem?,Dolakha,6,yes_a_lot_of,0
Do you have any health problem?,Dolakha,6,yes__some_difficulty,0
Do you have any health problem?,Dolakha,6,"Yes, some difficulty.",0
Do you have any health problem?,Lalitpur,1,"Yes, a lot of difficulty.",4
Do you have any health problem?,Lalitpur,1,No difficulty.,85
Do you have any health problem?,Lalitpur,1,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,1,"Yes, some difficulty",0
Do you have any health problem?,Lalitpur,1,No difficulty,0
Do you have any health problem?,Lalitpur,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Lalitpur,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Lalitpur,1,Cannot do at all.,0
Do you have any health problem?,Lalitpur,1,yes_a_lot_of,0
Do you have any health problem?,Lalitpur,1,yes__some_difficulty,0
Do you have any health problem?,Lalitpur,1,"Yes, some difficulty.",16
Do you have any health problem?,Lalitpur,3,"Yes, a lot of difficulty.",7
Do you have any health problem?,Lalitpur,3,No difficulty.,81
Do you have any health problem?,Lalitpur,3,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,3,"Yes, some difficulty",0
Do you have any health problem?,Lalitpur,3,No difficulty,0
Do you have any health problem?,Lalitpur,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Lalitpur,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Lalitpur,3,Cannot do at all.,0
Do you have any health problem?,Lalitpur,3,yes_a_lot_of,0
Do you have any health problem?,Lalitpur,3,yes__some_difficulty,0
Do you have any health problem?,Lalitpur,3,"Yes, some difficulty.",12
Do you have any health problem?,Lalitpur,2,"Yes, a lot of difficulty.",3
Do you have any health problem?,Lalitpur,2,No difficulty.,81
Do you have any health problem?,Lalitpur,2,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,2,"Yes, some difficulty",0
Do you have any health problem?,Lalitpur,2,No difficulty,0
Do you have any health problem?,Lalitpur,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Lalitpur,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Lalitpur,2,Cannot do at all.,0
Do you have any health problem?,Lalitpur,2,yes_a_lot_of,0
Do you have any health problem?,Lalitpur,2,yes__some_difficulty,0
Do you have any health problem?,Lalitpur,2,"Yes, some difficulty.",16
Do you have any health problem?,Lalitpur,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Lalitpur,5,No difficulty.,71
Do you have any health problem?,Lalitpur,5,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,5,"Yes, some difficulty",0
Do you have any health problem?,Lalitpur,5,No difficulty,0
Do you have any health problem?,Lalitpur,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Lalitpur,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Lalitpur,5,Cannot do at all.,0
Do you have any health problem?,Lalitpur,5,yes_a_lot_of,1
Do you have any health problem?,Lalitpur,5,yes__some_difficulty,0
Do you have any health problem?,Lalitpur,5,"Yes, some difficulty.",28
Do you have any health problem?,Lalitpur,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Lalitpur,4,No difficulty.,74
Do you have any health problem?,Lalitpur,4,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,4,"Yes, some difficulty",0
Do you have any health problem?,Lalitpur,4,No difficulty,0
Do you have any health problem?,Lalitpur,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Lalitpur,4,yes__a_lot_of_difficulty,5
Do you have any health problem?,Lalitpur,4,Cannot do at all.,0
Do you have any health problem?,Lalitpur,4,yes_a_lot_of,0
Do you have any health problem?,Lalitpur,4,yes__some_difficulty,21
Do you have any health problem?,Lalitpur,4,"Yes, some difficulty.",0
Do you have any health problem?,Lalitpur,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Lalitpur,6,No difficulty.,0
Do you have any health problem?,Lalitpur,6,cannot_do_at_all,0
Do you have any health problem?,Lalitpur,6,"Yes, some difficulty",18
Do you have any health problem?,Lalitpur,6,No difficulty,77
Do you have any health problem?,Lalitpur,6,"Yes, a lot of difficulty",5
Do you have any health problem?,Lalitpur,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Lalitpur,6,Cannot do at all.,0
Do you have any health problem?,Lalitpur,6,yes_a_lot_of,0
Do you have any health problem?,Lalitpur,6,yes__some_difficulty,0
Do you have any health problem?,Lalitpur,6,"Yes, some difficulty.",0
Do you have any health problem?,Dhading,1,"Yes, a lot of difficulty.",4
Do you have any health problem?,Dhading,1,No difficulty.,64
Do you have any health problem?,Dhading,1,cannot_do_at_all,0
Do you have any health problem?,Dhading,1,"Yes, some difficulty",0
Do you have any health problem?,Dhading,1,No difficulty,0
Do you have any health problem?,Dhading,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,1,Cannot do at all.,1
Do you have any health problem?,Dhading,1,yes_a_lot_of,0
Do you have any health problem?,Dhading,1,yes__some_difficulty,0
Do you have any health problem?,Dhading,1,"Yes, some difficulty.",30
Do you have any health problem?,Dhading,3,"Yes, a lot of difficulty.",2
Do you have any health problem?,Dhading,3,No difficulty.,77
Do you have any health problem?,Dhading,3,cannot_do_at_all,0
Do you have any health problem?,Dhading,3,"Yes, some difficulty",0
Do you have any health problem?,Dhading,3,No difficulty,0
Do you have any health problem?,Dhading,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,3,Cannot do at all.,0
Do you have any health problem?,Dhading,3,yes_a_lot_of,0
Do you have any health problem?,Dhading,3,yes__some_difficulty,0
Do you have any health problem?,Dhading,3,"Yes, some difficulty.",21
Do you have any health problem?,Dhading,2,"Yes, a lot of difficulty.",5
Do you have any health problem?,Dhading,2,No difficulty.,72
Do you have any health problem?,Dhading,2,cannot_do_at_all,0
Do you have any health problem?,Dhading,2,"Yes, some difficulty",0
Do you have any health problem?,Dhading,2,No difficulty,0
Do you have any health problem?,Dhading,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,2,Cannot do at all.,0
Do you have any health problem?,Dhading,2,yes_a_lot_of,0
Do you have any health problem?,Dhading,2,yes__some_difficulty,0
Do you have any health problem?,Dhading,2,"Yes, some difficulty.",23
Do you have any health problem?,Dhading,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dhading,5,No difficulty.,71
Do you have any health problem?,Dhading,5,cannot_do_at_all,0
Do you have any health problem?,Dhading,5,"Yes, some difficulty",0
Do you have any health problem?,Dhading,5,No difficulty,0
Do you have any health problem?,Dhading,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,5,Cannot do at all.,1
Do you have any health problem?,Dhading,5,yes_a_lot_of,2
Do you have any health problem?,Dhading,5,yes__some_difficulty,0
Do you have any health problem?,Dhading,5,"Yes, some difficulty.",26
Do you have any health problem?,Dhading,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dhading,4,No difficulty.,78
Do you have any health problem?,Dhading,4,cannot_do_at_all,0
Do you have any health problem?,Dhading,4,"Yes, some difficulty",0
Do you have any health problem?,Dhading,4,No difficulty,0
Do you have any health problem?,Dhading,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,4,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,4,Cannot do at all.,0
Do you have any health problem?,Dhading,4,yes_a_lot_of,0
Do you have any health problem?,Dhading,4,yes__some_difficulty,22
Do you have any health problem?,Dhading,4,"Yes, some difficulty.",0
Do you have any health problem?,Dhading,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Dhading,6,No difficulty.,0
Do you have any health problem?,Dhading,6,cannot_do_at_all,0
Do you have any health problem?,Dhading,6,"Yes, some difficulty",29
Do you have any health problem?,Dhading,6,No difficulty,71
Do you have any health problem?,Dhading,6,"Yes, a lot of difficulty",0
Do you have any health problem?,Dhading,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Dhading,6,Cannot do at all.,0
Do you have any health problem?,Dhading,6,yes_a_lot_of,0
Do you have any health problem?,Dhading,6,yes__some_difficulty,0
Do you have any health problem?,Dhading,6,"Yes, some difficulty.",0
Do you have any health problem?,Bhaktapur,1,"Yes, a lot of difficulty.",3
Do you have any health problem?,Bhaktapur,1,No difficulty.,61
Do you have any health problem?,Bhaktapur,1,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,1,"Yes, some difficulty",0
Do you have any health problem?,Bhaktapur,1,No difficulty,0
Do you have any health problem?,Bhaktapur,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Bhaktapur,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,1,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,1,yes_a_lot_of,0
Do you have any health problem?,Bhaktapur,1,yes__some_difficulty,0
Do you have any health problem?,Bhaktapur,1,"Yes, some difficulty.",39
Do you have any health problem?,Bhaktapur,3,"Yes, a lot of difficulty.",0
Do you have any health problem?,Bhaktapur,3,No difficulty.,85
Do you have any health problem?,Bhaktapur,3,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,3,"Yes, some difficulty",0
Do you have any health problem?,Bhaktapur,3,No difficulty,0
Do you have any health problem?,Bhaktapur,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Bhaktapur,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,3,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,3,yes_a_lot_of,0
Do you have any health problem?,Bhaktapur,3,yes__some_difficulty,0
Do you have any health problem?,Bhaktapur,3,"Yes, some difficulty.",15
Do you have any health problem?,Bhaktapur,2,"Yes, a lot of difficulty.",3
Do you have any health problem?,Bhaktapur,2,No difficulty.,80
Do you have any health problem?,Bhaktapur,2,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,2,"Yes, some difficulty",0
Do you have any health problem?,Bhaktapur,2,No difficulty,0
Do you have any health problem?,Bhaktapur,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Bhaktapur,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,2,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,2,yes_a_lot_of,0
Do you have any health problem?,Bhaktapur,2,yes__some_difficulty,0
Do you have any health problem?,Bhaktapur,2,"Yes, some difficulty.",17
Do you have any health problem?,Bhaktapur,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Bhaktapur,5,No difficulty.,82
Do you have any health problem?,Bhaktapur,5,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,5,"Yes, some difficulty",0
Do you have any health problem?,Bhaktapur,5,No difficulty,0
Do you have any health problem?,Bhaktapur,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Bhaktapur,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,5,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,5,yes_a_lot_of,2
Do you have any health problem?,Bhaktapur,5,yes__some_difficulty,0
Do you have any health problem?,Bhaktapur,5,"Yes, some difficulty.",16
Do you have any health problem?,Bhaktapur,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Bhaktapur,4,No difficulty.,73
Do you have any health problem?,Bhaktapur,4,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,4,"Yes, some difficulty",0
Do you have any health problem?,Bhaktapur,4,No difficulty,0
Do you have any health problem?,Bhaktapur,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Bhaktapur,4,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,4,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,4,yes_a_lot_of,0
Do you have any health problem?,Bhaktapur,4,yes__some_difficulty,27
Do you have any health problem?,Bhaktapur,4,"Yes, some difficulty.",0
Do you have any health problem?,Bhaktapur,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Bhaktapur,6,No difficulty.,0
Do you have any health problem?,Bhaktapur,6,cannot_do_at_all,0
Do you have any health problem?,Bhaktapur,6,"Yes, some difficulty",18
Do you have any health problem?,Bhaktapur,6,No difficulty,79
Do you have any health problem?,Bhaktapur,6,"Yes, a lot of difficulty",3
Do you have any health problem?,Bhaktapur,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Bhaktapur,6,Cannot do at all.,0
Do you have any health problem?,Bhaktapur,6,yes_a_lot_of,0
Do you have any health problem?,Bhaktapur,6,yes__some_difficulty,0
Do you have any health problem?,Bhaktapur,6,"Yes, some difficulty.",0
Do you have any health problem?,Ramechhap,1,"Yes, a lot of difficulty.",18
Do you have any health problem?,Ramechhap,1,No difficulty.,47
Do you have any health problem?,Ramechhap,1,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,1,"Yes, some difficulty",0
Do you have any health problem?,Ramechhap,1,No difficulty,0
Do you have any health problem?,Ramechhap,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Ramechhap,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,1,Cannot do at all.,6
Do you have any health problem?,Ramechhap,1,yes_a_lot_of,0
Do you have any health problem?,Ramechhap,1,yes__some_difficulty,0
Do you have any health problem?,Ramechhap,1,"Yes, some difficulty.",28
Do you have any health problem?,Ramechhap,3,"Yes, a lot of difficulty.",3
Do you have any health problem?,Ramechhap,3,No difficulty.,69
Do you have any health problem?,Ramechhap,3,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,3,"Yes, some difficulty",0
Do you have any health problem?,Ramechhap,3,No difficulty,0
Do you have any health problem?,Ramechhap,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Ramechhap,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,3,Cannot do at all.,0
Do you have any health problem?,Ramechhap,3,yes_a_lot_of,0
Do you have any health problem?,Ramechhap,3,yes__some_difficulty,0
Do you have any health problem?,Ramechhap,3,"Yes, some difficulty.",28
Do you have any health problem?,Ramechhap,2,"Yes, a lot of difficulty.",5
Do you have any health problem?,Ramechhap,2,No difficulty.,69
Do you have any health problem?,Ramechhap,2,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,2,"Yes, some difficulty",0
Do you have any health problem?,Ramechhap,2,No difficulty,0
Do you have any health problem?,Ramechhap,2,"Yes, a lot of difficulty",0
Do you have any health problem?,Ramechhap,2,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,2,Cannot do at all.,0
Do you have any health problem?,Ramechhap,2,yes_a_lot_of,0
Do you have any health problem?,Ramechhap,2,yes__some_difficulty,0
Do you have any health problem?,Ramechhap,2,"Yes, some difficulty.",26
Do you have any health problem?,Ramechhap,5,"Yes, a lot of difficulty.",0
Do you have any health problem?,Ramechhap,5,No difficulty.,48
Do you have any health problem?,Ramechhap,5,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,5,"Yes, some difficulty",0
Do you have any health problem?,Ramechhap,5,No difficulty,0
Do you have any health problem?,Ramechhap,5,"Yes, a lot of difficulty",0
Do you have any health problem?,Ramechhap,5,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,5,Cannot do at all.,0
Do you have any health problem?,Ramechhap,5,yes_a_lot_of,3
Do you have any health problem?,Ramechhap,5,yes__some_difficulty,0
Do you have any health problem?,Ramechhap,5,"Yes, some difficulty.",49
Do you have any health problem?,Ramechhap,4,"Yes, a lot of difficulty.",0
Do you have any health problem?,Ramechhap,4,No difficulty.,70
Do you have any health problem?,Ramechhap,4,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,4,"Yes, some difficulty",0
Do you have any health problem?,Ramechhap,4,No difficulty,0
Do you have any health problem?,Ramechhap,4,"Yes, a lot of difficulty",0
Do you have any health problem?,Ramechhap,4,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,4,Cannot do at all.,0
Do you have any health problem?,Ramechhap,4,yes_a_lot_of,0
Do you have any health problem?,Ramechhap,4,yes__some_difficulty,30
Do you have any health problem?,Ramechhap,4,"Yes, some difficulty.",0
Do you have any health problem?,Ramechhap,6,"Yes, a lot of difficulty.",0
Do you have any health problem?,Ramechhap,6,No difficulty.,0
Do you have any health problem?,Ramechhap,6,cannot_do_at_all,0
Do you have any health problem?,Ramechhap,6,"Yes, some difficulty",53
Do you have any health problem?,Ramechhap,6,No difficulty,45
Do you have any health problem?,Ramechhap,6,"Yes, a lot of difficulty",2
Do you have any health problem?,Ramechhap,6,yes__a_lot_of_difficulty,0
Do you have any health problem?,Ramechhap,6,Cannot do at all.,0
Do you have any health problem?,Ramechhap,6,yes_a_lot_of,0
Do you have any health problem?,Ramechhap,6,yes__some_difficulty,0
Do you have any health problem?,Ramechhap,6,"Yes, some difficulty.",0
Do you have any health problem?,Makwanpur,1,"Yes, a lot of difficulty.",17
Do you have any health problem?,Makwanpur,1,No difficulty.,60
Do you have any health problem?,Makwanpur,1,cannot_do_at_all,0
Do you have any health problem?,Makwanpur,1,"Yes, some difficulty",0
Do you have any health problem?,Makwanpur,1,No difficulty,0
Do you have any health problem?,Makwanpur,1,"Yes, a lot of difficulty",0
Do you have any health problem?,Makwanpur,1,yes__a_lot_of_difficulty,0
Do you have any health problem?,Makwanpur,1,Cannot do at all.,0
Do you have any health problem?,Makwanpur,1,yes_a_lot_of,0
Do you have any health problem?,Makwanpur,1,yes__some_difficulty,0
Do you have any health problem?,Makwanpur,1,"Yes, some difficulty.",26
Do you have any health problem?,Makwanpur,3,"Yes, a lot of difficulty.",4
Do you have any health problem?,Makwanpur,3,No difficulty.,95
Do you have any health problem?,Makwanpur,3,cannot_do_at_all,0
Do you have any health problem?,Makwanpur,3,"Yes, some difficulty",0
Do you have any health problem?,Makwanpur,3,No difficulty,0
Do you have any health problem?,Makwanpur,3,"Yes, a lot of difficulty",0
Do you have any health problem?,Makwanpur,3,yes__a_lot_of_difficulty,0
Do you have any health problem?,Makwanpur,3,Cannot do at all.,0
Do you have any health problem?,Makwanpur,3,yes_a_lot_of,0
Do you have any health problem?,Makwanpur,3,yes__some_difficulty,0
Do you have any health problem?,Makwanpur,3,"Yes, some difficulty.",1
Do you have any health problem?,Makwanpur,2,"Yes, a lot of difficulty.",1
Do you have any health problem?,Makwanpur,2,No difficulty.,79
Do you have any health problem?,Makwanpur,2,cannot_do_at_all,0
Do you have any health problem?,Makwanpur,2,"Yes, some difficulty",0
Do you have any health problem?,Makwanpur,2,No difficulty,0
Do you have any health problem?,Makwanpur,2,"Yes, a lot of difficulty",0
